total_model_parameters,epochs,batch_size,max_lr,min_lr,anneal_perc,max_mom,min_mom,time_taken,train_acc,test_acc,wd,train_loss,test_loss,runs,log_time,comments
343264,2,32,0.4,1e-06,0.15,0.95,0.8,115.28890609741211,0.13,0.1,0.0005,2.34421875,2.316484375,"{'epoch': [1, 2], 'time': [57.78938937187195, 115.28236103057861], 'lr': [0.04000000000000001, 0.020000500000000004], 'train_acc': [0.13, 0.13], 'test_acc': [0.1, 0.1], 'train_loss': [2.34765625, 2.34421875], 'test_loss': [2.3115625, 2.316484375]}",2019-08-31 04:11:53,Integration tests
343264,2,32,0.4,1e-06,0.15,0.95,0.8,121.9449450969696,0.1,0.05,0.0005,2.3921875,2.32859375,"{'epoch': [1, 2], 'time': [63.49551582336426, 121.94045925140381], 'lr': [0.04000000000000001, 0.020000500000000004], 'train_acc': [0.11, 0.1], 'test_acc': [0.07, 0.05], 'train_loss': [2.4028125, 2.3921875], 'test_loss': [2.31953125, 2.32859375]}",2019-09-01 02:03:24,Integration tests
343264,2,32,0.4,1e-06,0.15,0.95,0.8,131.2122540473938,0.34375,0.25,0.0005,7.73974609375,7.23486328125,"{'epoch': [1, 2], 'time': [64.87336540222168, 131.20803236961365], 'lr': [0.04000000000000001, 0.020000500000000004], 'train_acc': [0.34375, 0.34375], 'test_acc': [0.25, 0.25], 'train_loss': [7.73974609375, 7.73974609375], 'test_loss': [7.21435546875, 7.23486328125]}",2019-09-01 02:23:36,Integration tests
343264,1,25,0.4,1e-06,0.15,0.95,0.8,2.0000598430633545,0.12,0.2,0.0005,2.4086605072021485,2.3272533416748047,"{'epoch': [1], 'time': [1.9956517219543457], 'lr': [0.020000500000000004], 'train_acc': [0.12], 'test_acc': [0.2], 'train_loss': [2.4086605072021485], 'test_loss': [2.3272533416748047]}",2019-09-02 07:26:46,Integration tests
343264,2,16,0.1,1e-06,0.15,0.95,0.8,3.447899580001831,0.1,0.06,0.0005,2.332682342529297,2.3446615600585936,"{'epoch': [1, 2], 'time': [1.8172285556793213, 3.443934917449951], 'lr': [0.010000000000000002, 0.005000500000000001], 'train_acc': [0.14, 0.1], 'test_acc': [0.04, 0.06], 'train_loss': [2.3283525848388673, 2.332682342529297], 'test_loss': [2.377066345214844, 2.3446615600585936]}",2019-09-02 07:27:27,G
343264,2,16,0.1,1e-06,0.15,0.95,0.8,3.6566178798675537,0.14,0.12,0.0005,2.2878077697753905,2.3541043853759764,"{'epoch': [1, 2], 'time': [1.9185116291046143, 3.6522912979125977], 'lr': [0.010000000000000002, 0.005000500000000001], 'train_acc': [0.12, 0.14], 'test_acc': [0.2, 0.12], 'train_loss': [2.4150888824462893, 2.2878077697753905], 'test_loss': [2.3876753997802735, 2.3541043853759764]}",2019-09-02 07:27:31,R
343264,2,16,0.1,1e-06,0.15,0.95,0.8,3.6185638904571533,0.08,0.1,0.0005,2.3445178985595705,2.3859812927246096,"{'epoch': [1, 2], 'time': [1.79996657371521, 3.615744113922119], 'lr': [0.010000000000000002, 0.005000500000000001], 'train_acc': [0.08, 0.08], 'test_acc': [0.1, 0.1], 'train_loss': [2.43703125, 2.3445178985595705], 'test_loss': [2.4601226806640626, 2.3859812927246096]}",2019-09-02 07:27:34,I
343264,2,16,0.1,1e-06,0.15,0.95,0.8,3.9232420921325684,0.06,0.12,0.0005,2.482107620239258,2.439586486816406,"{'epoch': [1, 2], 'time': [2.0417215824127197, 3.916961908340454], 'lr': [0.010000000000000002, 0.005000500000000001], 'train_acc': [0.06, 0.06], 'test_acc': [0.12, 0.12], 'train_loss': [2.5365006256103517, 2.482107620239258], 'test_loss': [2.5180118560791014, 2.439586486816406]}",2019-09-02 07:27:38,D
343264,2,16,0.1,1e-06,0.15,0.95,0.8,3.7620317935943604,0.12,0.06,0.0005,2.4483756256103515,2.346512222290039,"{'epoch': [1, 2], 'time': [2.1456124782562256, 3.759129047393799], 'lr': [0.010000000000000002, 0.005000500000000001], 'train_acc': [0.12, 0.12], 'test_acc': [0.08, 0.06], 'train_loss': [2.4591448211669924, 2.4483756256103515], 'test_loss': [2.3764407348632814, 2.346512222290039]}",2019-09-02 07:27:42, 
343264,2,16,0.1,1e-06,0.15,0.95,0.8,3.5993311405181885,0.12,0.12,0.0005,2.662409439086914,2.527602310180664,"{'epoch': [1, 2], 'time': [1.9535868167877197, 3.5960378646850586], 'lr': [0.010000000000000002, 0.005000500000000001], 'train_acc': [0.06, 0.12], 'test_acc': [0.18, 0.12], 'train_loss': [2.6487103271484376, 2.662409439086914], 'test_loss': [2.667464141845703, 2.527602310180664]}",2019-09-02 07:27:46,S
343264,2,16,0.1,1e-06,0.15,0.95,0.8,3.513770341873169,0.12,0.16,0.0005,2.3076846313476564,2.2636953735351564,"{'epoch': [1, 2], 'time': [1.893310785293579, 3.5099451541900635], 'lr': [0.010000000000000002, 0.005000500000000001], 'train_acc': [0.16, 0.12], 'test_acc': [0.16, 0.16], 'train_loss': [2.2349532318115233, 2.3076846313476564], 'test_loss': [2.278090591430664, 2.2636953735351564]}",2019-09-02 07:27:49,E
343264,2,16,0.1,1e-06,0.15,0.95,0.8,3.9219512939453125,0.06,0.04,0.0005,2.3294393157958986,2.3529698944091795,"{'epoch': [1, 2], 'time': [1.9387145042419434, 3.9191081523895264], 'lr': [0.010000000000000002, 0.005000500000000001], 'train_acc': [0.12, 0.06], 'test_acc': [0.08, 0.04], 'train_loss': [2.3668556213378906, 2.3294393157958986], 'test_loss': [2.389481506347656, 2.3529698944091795]}",2019-09-02 07:27:53,A
343264,2,16,0.1,1e-06,0.15,0.95,0.8,3.9813356399536133,0.12,0.06,0.0005,2.304292984008789,2.3130339050292967,"{'epoch': [1, 2], 'time': [2.180049180984497, 3.9780662059783936], 'lr': [0.010000000000000002, 0.005000500000000001], 'train_acc': [0.08, 0.12], 'test_acc': [0.06, 0.06], 'train_loss': [2.396493911743164, 2.304292984008789], 'test_loss': [2.384153518676758, 2.3130339050292967]}",2019-09-02 07:27:57,R
343264,2,16,0.1,1e-06,0.15,0.95,0.8,3.770378351211548,0.06,0.06,0.0005,2.45534065246582,2.3436650085449218,"{'epoch': [1, 2], 'time': [2.101022720336914, 3.7675209045410156], 'lr': [0.010000000000000002, 0.005000500000000001], 'train_acc': [0.08, 0.06], 'test_acc': [0.06, 0.06], 'train_loss': [2.316109924316406, 2.45534065246582], 'test_loss': [2.3607047271728514, 2.3436650085449218]}",2019-09-02 07:28:01,C
